now,stepsCounted,active,stepsTooShort,stepsTooLong,stepsOutsideTime
1587049403638.02709960937,3785,0,313,3970,7771
1587049413638.02709960937,3785,0,313,3970,7771
1587049423638.02709960937,3785,0,313,3971,7772
1587049433638.0576171875,3785,0,313,3971,7772
